sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
馬祖,連江縣,136,臭氧八小時,對敏感族群不健康,0.8,0.33,85,81,71,36,5,6.2,0.5,1.3,320,2025-04-21 16:00,,0.3,40.7,77,0,119.952724,26.153736,75
埔里,南投縣,72,細懸浮微粒,普通,0.9,0.23,51,33,37,23,3,4,0.8,2.4,288,2025-04-21 16:00,,0.2,20.3,31,0,120.967903,23.968842,72
復興,高雄市,55,細懸浮微粒,普通,0,0.13,29,26,22,10,4,6,1.7,0.7,203,2025-04-21 16:00,,0.2,13.8,26,0,120.312017,22.608711,71
永和,新北市,77,細懸浮微粒,普通,1.2,0.88,37,33,42,28,31,39.4,7.5,1,314,2025-04-21 16:00,,0.8,22,33,0,121.516306,25.017,70
竹山,南投縣,73,細懸浮微粒,普通,0.8,0.16,44,39,39,18,3,4.1,0.1,2.7,255,2025-04-21 16:00,,0.1,20.7,36,0,120.677306,23.756389,69
中壢,桃園市,76,細懸浮微粒,普通,,0.94,21,17,42,28,30,59.3,28.6,0.4,27,2025-04-21 16:00,,0.9,21.7,35,0,121.221667,24.953278,68
三重,新北市,99,細懸浮微粒,普通,1.3,0.71,24,24,48,35,42,72.3,30.1,-,-,2025-04-21 16:00,,0.9,30.2,41,1,121.493806,25.072611,67
冬山,宜蘭縣,42,,良好,0.1,0.26,43,32,18,8,7,8.9,1.4,1.7,28,2025-04-21 16:00,,0.4,10.4,24,0,121.792928,24.632203,66
宜蘭,宜蘭縣,44,,良好,0.2,0.23,50,47,17,11,3,3.9,0.8,2,113,2025-04-21 16:00,,0.2,11,14,0,121.746394,24.747917,65
陽明,臺北市,78,細懸浮微粒,普通,0.5,0.25,51,45,50,31,3,3.7,0.4,1.4,30,2025-04-21 16:00,,0.2,22.5,35,0,121.529583,25.182722,64
花蓮,花蓮縣,38,,良好,0.7,0.2,45,41,15,7,1,2.1,0.6,2.3,101,2025-04-21 16:00,,0.2,8.4,13,0,121.599769,23.971306,63
臺東,臺東縣,35,,良好,0.5,0.17,32,34,21,10,1,2.2,0.3,1.3,123,2025-04-21 16:00,,0.1,8.7,21,0,121.15045,22.755358,62
恆春,屏東縣,60,細懸浮微粒,普通,1.6,0.19,48,45,23,16,1,2,0.7,2.9,242,2025-04-21 16:00,,0.1,15.8,27,1,120.788928,21.958069,61
潮州,屏東縣,80,細懸浮微粒,普通,,0.64,,50,55,20,,,,3.7,260,2025-04-21 16:00,,0.3,23.1,47,0,120.561175,22.523108,60
屏東,屏東縣,75,細懸浮微粒,普通,1.5,0.26,44,49,57,15,8,9.7,1.7,4.1,285,2025-04-21 16:00,,0.2,21.4,49,0,120.488033,22.673081,59
小港,高雄市,61,細懸浮微粒,普通,0.2,0.14,26,25,23,17,6,9.4,2.5,4.4,266,2025-04-21 16:00,,0.1,16,25,0,120.337736,22.565833,58
前鎮,高雄市,56,細懸浮微粒,普通,1.4,0.16,30,26,29,12,5,7.7,2.3,1.9,3,2025-04-21 16:00,,0.1,14.4,27,1,120.30833356,22.6044507,57
前金,高雄市,58,細懸浮微粒,普通,0.3,0.17,31,31,23,13,2,3.5,0.8,2,314,2025-04-21 16:00,,0.1,15.2,29,0,120.28676111,22.63390278,56
左營,高雄市,63,細懸浮微粒,普通,0.8,0.12,28,24,23,10,1,2.3,0.8,3.5,266,2025-04-21 16:00,,0.1,17,26,0,120.292917,22.674861,54
楠梓,高雄市,69,細懸浮微粒,普通,0.5,0.16,25,29,44,15,7,13.4,5.6,3,273,2025-04-21 16:00,,0.1,19.2,45,0,120.328289,22.733667,53
林園,高雄市,66,細懸浮微粒,普通,,,23,24,,15,,,,4.4,292,2025-04-21 16:00,,0.1,17.8,32,1,120.41175,22.4795,52
大寮,高雄市,75,細懸浮微粒,普通,1,0.17,33,42,41,18,8,10.8,2.2,3.6,304,2025-04-21 16:00,,0.2,21.4,45,1,120.425311,22.56413611,51
鳳山,高雄市,76,細懸浮微粒,普通,0.9,0.34,31,35,33,17,8,10.1,1.7,1.8,300,2025-04-21 16:00,,0.4,21.8,36,1,120.357422,22.628126,50
仁武,高雄市,61,細懸浮微粒,普通,2.3,0.16,29,,27,11,,,,3.7,291,2025-04-21 16:00,,0.2,16.3,33,1,120.332631,22.689056,49
橋頭,高雄市,64,細懸浮微粒,普通,1.2,0.14,31,32,29,11,3,4.8,1,3.8,273,2025-04-21 16:00,,0.1,17.3,29,1,120.305689,22.757506,48
美濃,高雄市,67,細懸浮微粒,普通,1.5,0.21,55,46,30,17,3,4.6,0.8,3,267,2025-04-21 16:00,,0.2,18.5,29,0,120.530542,22.883583,47
臺南,臺南市,55,細懸浮微粒,普通,0,0.17,30,31,23,11,3,4.5,1.2,2.7,288,2025-04-21 16:00,,0.2,13.9,28,0,120.21947897,22.98928311,46
安南,臺南市,57,懸浮微粒,普通,,,30,29,60,10,,,,3.3,285,2025-04-21 16:00,,0.1,14.2,36,0,120.2175,23.048197,45
善化,臺南市,73,細懸浮微粒,普通,,,,30,21,17,,,,4,272,2025-04-21 16:00,,0.1,20.6,35,1,120.29740529,23.11337642,44
新營,臺南市,65,細懸浮微粒,普通,0.4,0.16,31,32,22,12,4,4.4,0.4,2.7,301,2025-04-21 16:00,,0.1,17.5,28,0,120.31725,23.305633,43
嘉義,嘉義市,63,細懸浮微粒,普通,1.3,0.16,34,37,27,11,3,4.1,0.8,3.5,260,2025-04-21 16:00,,0.1,16.9,34,1,120.44125148,23.46477865,42
臺西,雲林縣,46,,良好,0.5,0.12,25,30,18,8,0,1.3,0.3,3.7,228,2025-04-21 16:00,,0.1,11.3,20,0,120.19933333,23.702175,41
朴子,嘉義縣,63,細懸浮微粒,普通,0.5,0.11,29,31,16,17,2,3,0.3,2.6,298,2025-04-21 16:00,,0.1,16.8,23,1,120.2478,23.46538,40
新港,嘉義縣,59,細懸浮微粒,普通,1,0.13,30,34,29,11,2,3.6,1.2,2.8,281,2025-04-21 16:00,,0.1,15.6,28,1,120.345531,23.554839,39
崙背,雲林縣,62,細懸浮微粒,普通,1.3,0.14,25,30,23,11,5,9.7,4.6,2.1,283,2025-04-21 16:00,,0.1,16.7,24,0,120.348742,23.757547,38
斗六,雲林縣,73,細懸浮微粒,普通,1.2,0.2,40,41,25,10,3,4.5,1.4,2.2,256,2025-04-21 16:00,,0.2,20.5,35,1,120.544994,23.711853,37
南投,南投縣,77,細懸浮微粒,普通,1.4,0.18,46,40,33,24,4,4.8,0.7,2.4,279,2025-04-21 16:00,,0.2,22,33,0,120.685306,23.913,36
二林,彰化縣,66,細懸浮微粒,普通,4.9,0.16,27,31,24,14,5,8.2,2.2,3.2,272,2025-04-21 16:00,,0.1,18.1,34,2,120.409653,23.925175,35
線西,彰化縣,67,細懸浮微粒,普通,0.8,0.13,33,35,23,13,2,4.2,1.6,3.2,260,2025-04-21 16:00,,0.2,18.5,30,1,120.469061,24.131672,34
彰化,彰化縣,74,細懸浮微粒,普通,1.5,0.15,39,34,23,12,5,7.2,1.3,2,284,2025-04-21 16:00,,0.1,20.9,28,1,120.541519,24.066,33
西屯,臺中市,78,細懸浮微粒,普通,1.7,0.16,42,37,29,14,4,5.7,1,3.7,265,2025-04-21 16:00,,0.2,22.5,41,1,120.616917,24.162197,32
忠明,臺中市,75,細懸浮微粒,普通,1.6,0.19,39,31,32,16,6,9.5,2.6,2.8,296,2025-04-21 16:00,,0.2,21.4,42,1,120.641092,24.151958,31
大里,臺中市,85,細懸浮微粒,普通,1.2,0.19,44,35,30,21,7,7.4,0,3.8,267,2025-04-21 16:00,,0.2,25.1,36,0,120.67844444,24.09961111,30
沙鹿,臺中市,74,細懸浮微粒,普通,1.5,0.16,38,35,24,15,4,5.7,1.4,3.1,235,2025-04-21 16:00,,0.2,21,36,0,120.568794,24.225628,29
豐原,臺中市,82,細懸浮微粒,普通,1.5,0.25,51,44,38,17,7,9,1.8,2.9,263,2025-04-21 16:00,,0.2,23.8,38,0,120.74252414,24.25699731,28
三義,苗栗縣,82,細懸浮微粒,普通,1.7,0.21,40,40,35,16,3,5.9,2.1,2.5,211,2025-04-21 16:00,,0.2,23.7,38,1,120.75956754,24.38248443,27
苗栗,苗栗縣,77,細懸浮微粒,普通,,,,32,23,16,,,,3.1,223,2025-04-21 16:00,,0.2,22,29,1,120.82011468,24.56499183,26
頭份,苗栗縣,70,細懸浮微粒,普通,0.6,0.16,42,37,26,15,1,3.2,1.7,3.3,275,2025-04-21 16:00,,0.2,19.6,31,1,120.89869286,24.69690679,25
新竹,新竹市,67,細懸浮微粒,普通,0.8,0.25,45,31,28,21,6,7,0.8,1.7,264,2025-04-21 16:00,,0.3,18.2,25,1,120.97236752,24.8056356,24
竹東,新竹縣,75,細懸浮微粒,普通,0.7,0.25,47,34,36,26,7,7.6,0.4,1,207,2025-04-21 16:00,,0.2,21.2,33,0,121.08895493,24.74091408,23
湖口,新竹縣,67,細懸浮微粒,普通,0.9,0.22,51,33,26,17,3,4.1,0.7,2.3,248,2025-04-21 16:00,,0.2,18.3,26,0,121.03886894,24.90009696,22
龍潭,桃園市,77,細懸浮微粒,普通,1,0.25,45,32,39,33,7,8.6,0.7,2,248,2025-04-21 16:00,,0.2,21.9,32,0,121.21645772,24.86400048,21
平鎮,桃園市,78,細懸浮微粒,普通,0.7,0.27,42,32,40,29,11,12.8,1.6,1.3,301,2025-04-21 16:00,,0.2,22.2,34,0,121.203986,24.952786,20
觀音,桃園市,62,細懸浮微粒,普通,0.2,0.21,52,38,22,17,4,5.7,0.9,2.5,244,2025-04-21 16:00,,0.2,16.7,22,0,121.08283092,25.03556747,19
大園,桃園市,62,細懸浮微粒,普通,,0.28,50,32,32,16,,,,2.1,316,2025-04-21 16:00,,0.2,16.7,30,0,121.20251473,25.06100357,18
桃園,桃園市,75,細懸浮微粒,普通,0.3,0.28,51,36,40,25,9,10.4,0.8,1.8,279,2025-04-21 16:00,,0.3,21.2,32,1,121.30500531,24.9947107,17
大同,臺北市,105,細懸浮微粒,對敏感族群不健康,,0.59,,30,42,,19,23,3.2,-,-,2025-04-21 16:00,,1.3,32.1,42,1,121.51342074,25.06331455,16
松山,臺北市,86,細懸浮微粒,普通,,,,49,38,30,,,,1.6,331,2025-04-21 16:00,,0.4,25.3,34,0,121.578611,25.05,15
古亭,臺北市,77,細懸浮微粒,普通,1.2,0.34,56,46,42,26,13,14,0.3,1.4,305,2025-04-21 16:00,,0.3,21.9,33,0,121.529556,25.020608,14
萬華,臺北市,85,細懸浮微粒,普通,1,0.42,48,43,47,31,20,21.7,1.3,1.5,304,2025-04-21 16:00,,0.4,24.9,37,0,121.507972,25.046503,13
中山,臺北市,86,細懸浮微粒,普通,1.5,0.47,45,46,42,26,21,24,2.9,1.9,276,2025-04-21 16:00,,0.5,25.4,40,1,121.526528,25.062361,12
士林,臺北市,75,細懸浮微粒,普通,0.9,0.23,51,49,46,23,8,9.2,0.9,2.4,344,2025-04-21 16:00,,0.3,21.2,37,0,121.51666356,25.10334003,11
淡水,新北市,73,細懸浮微粒,普通,0.9,0.18,59,49,31,19,3,4.6,0.6,0.9,340,2025-04-21 16:00,,0.3,20.6,34,0,121.449239,25.1645,10
林口,新北市,75,細懸浮微粒,普通,1.5,0.21,52,39,27,20,4,5.6,0.8,1.5,341,2025-04-21 16:00,,0.3,21.1,29,0,121.36548982,25.07798949,9
菜寮,新北市,88,細懸浮微粒,普通,1.5,0.33,55,48,40,26,13,15.1,1.5,1.7,306,2025-04-21 16:00,,0.4,25.9,37,0,121.481028,25.06895,8
新莊,新北市,71,細懸浮微粒,普通,1.4,0.28,48,41,34,21,12,13.3,0.8,3.6,9,2025-04-21 16:00,,0.3,19.7,29,0,121.4325,25.037972,7
板橋,新北市,69,細懸浮微粒,普通,1.6,0.38,53,42,47,24,14,15.7,1.1,1.8,317,2025-04-21 16:00,,0.4,19,32,0,121.458667,25.012972,6
土城,新北市,79,細懸浮微粒,普通,1.8,0.32,48,38,46,31,13,14.1,0.9,1.8,320,2025-04-21 16:00,,0.3,22.6,35,0,121.451861,24.982528,5
新店,新北市,72,細懸浮微粒,普通,1.6,0.36,57,50,50,29,15,15.6,0.6,1.6,299,2025-04-21 16:00,,0.3,20.1,32,0,121.537778,24.977222,4
萬里,新北市,115,臭氧八小時,對敏感族群不健康,1.1,0.29,72,75,36,19,,,,1.5,42,2025-04-21 16:00,,0.3,19.6,39,0,121.689881,25.179667,3
汐止,新北市,76,細懸浮微粒,普通,1.5,0.29,60,54,34,25,10,10.8,0.6,0.7,27,2025-04-21 16:00,,0.3,21.8,31,0,121.64081,25.06624,2
基隆,基隆市,59,細懸浮微粒,普通,1.5,0.27,57,56,14,11,3,3.8,0.8,0.6,17,2025-04-21 16:00,,0.3,15.4,22,1,121.760056,25.129167,1
屏東(枋山),屏東縣,48,,良好,0.1,0.11,37,37,27,8,0,1,0.4,3,284,2025-04-21 15:00,,0.1,12,27,0,120.651472,22.260899,313
臺南（南化）,臺南市,60,細懸浮微粒,普通,0.2,0.18,59,39,30,12,2,3.1,0.3,4.2,6,2025-04-21 15:00,,0.1,15.7,25,0,120.44583156,23.04562013,312
新北（樹林）,新北市,61,細懸浮微粒,普通,1.1,0.33,58,32,36,24,15,16.7,1,0.3,47,2025-04-21 15:00,,0.3,16.3,29,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,52,細懸浮微粒,普通,0.3,0.32,50,28,32,18,6,9.2,2.4,0.7,308,2025-04-21 15:00,,0.3,13,24,0,120.883858,24.174592,310
屏東（琉球）,屏東縣,65,懸浮微粒,普通,0.6,0.14,31,27,47,13,1,2,0.6,3.6,318,2025-04-21 15:00,,0.1,15,44,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,-1,,,,,,,,,,,,,,2025-04-21 15:00,,,,,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,-1,,,,,,,,,,,,3.3,277,2025-04-21 15:00,,,,,,120.24535,22.87985556,202
宜蘭（頭城）,宜蘭縣,37,,良好,0.5,0.21,52,40,18,9,2,2.3,0,0.8,78,2025-04-21 15:00,,0.2,8,20,0,121.82463916,24.85366672,201
員林,彰化縣,80,細懸浮微粒,普通,1.6,0.18,46,34,29,18,3,4.9,1.6,3.4,281,2025-04-21 15:00,,0.2,23.2,41,1,120.5631893,23.9615945,139
大城,彰化縣,57,細懸浮微粒,普通,2,0.13,31,29,24,13,3,6,2.5,2.1,269,2025-04-21 15:00,,0.1,14.7,31,0,120.26964167,23.85493056,85
富貴角,新北市,140,臭氧八小時,對敏感族群不健康,0.1,0.27,86,82,42,27,1,1,0,1.7,36,2025-04-21 15:00,,0.2,28.8,48,0,121.53656894,25.29681695,84
麥寮,雲林縣,53,細懸浮微粒,普通,1.3,0.13,31,31,11,12,1,2.2,1.1,3.5,244,2025-04-21 15:00,,0.1,13.2,22,0,120.251825,23.753506,83
關山,臺東縣,42,,良好,1,0.12,32,27,16,8,1,2.9,1,3.6,216,2025-04-21 15:00,,0.1,10.5,17,1,121.161933,23.045083,80
馬公,澎湖縣,38,,良好,0.3,0.12,28,23,20,9,2,3.9,1.9,2.9,267,2025-04-21 15:00,,0.1,9.3,17,0,119.566158,23.569031,78
金門,金門縣,62,細懸浮微粒,普通,0.6,0.17,49,31,15,13,6,8.3,1.5,1.5,186,2025-04-21 15:00,,0.2,16.7,19,0,118.312256,24.432133,77
馬祖,連江縣,129,細懸浮微粒,對敏感族群不健康,0.8,0.32,84,79,77,38,5,6,0.6,1.5,316,2025-04-21 15:00,,0.3,41.9,79,0,119.952724,26.153736,75
埔里,南投縣,70,細懸浮微粒,普通,0.9,0.22,46,27,38,26,3,4.3,1,4.5,278,2025-04-21 15:00,,0.2,19.5,28,0,120.967903,23.968842,72
復興,高雄市,55,細懸浮微粒,普通,0,0.12,28,22,21,12,5,8.7,3.3,1.2,256,2025-04-21 15:00,,0.2,14.1,26,0,120.312017,22.608711,71
永和,新北市,73,細懸浮微粒,普通,1.5,0.67,51,30,46,28,27,34.1,6.5,2,307,2025-04-21 15:00,,0.8,20.5,30,0,121.516306,25.017,70
竹山,南投縣,76,細懸浮微粒,普通,,,52,33,37,20,,,,2.7,267,2025-04-21 15:00,,0.1,21.6,35,0,120.677306,23.756389,69
中壢,桃園市,72,細懸浮微粒,普通,,0.61,26,15,39,23,33,71.1,37.3,0.5,342,2025-04-21 15:00,,1,20.3,34,0,121.221667,24.953278,68
三重,新北市,94,細懸浮微粒,普通,1.9,0.8,32,22,48,40,46,79.4,33,-,-,2025-04-21 15:00,,1,28.2,38,1,121.493806,25.072611,67
冬山,宜蘭縣,43,,良好,0.4,0.27,50,31,24,10,6,7.5,1.3,1.7,55,2025-04-21 15:00,,0.4,10.7,26,0,121.792928,24.632203,66
宜蘭,宜蘭縣,44,,良好,0.1,0.23,48,44,12,11,2,3.5,0.6,2.2,82,2025-04-21 15:00,,0.2,11,14,0,121.746394,24.747917,65
陽明,臺北市,71,細懸浮微粒,普通,0.6,0.26,62,42,56,37,4,4.6,0.5,1.1,340,2025-04-21 15:00,,0.2,19.7,30,0,121.529583,25.182722,64
花蓮,花蓮縣,36,,良好,0.5,0.2,47,39,11,8,1,2.1,0.6,2.3,93,2025-04-21 15:00,,0.2,8.9,13,0,121.599769,23.971306,63
臺東,臺東縣,35,,良好,0.6,0.16,34,32,22,9,1,2.3,0.8,1.8,100,2025-04-21 15:00,,0.1,8.1,21,0,121.15045,22.755358,62
恆春,屏東縣,58,細懸浮微粒,普通,1.7,0.2,54,43,32,18,1,2.4,0.6,3.5,232,2025-04-21 15:00,,0.1,15.1,27,1,120.788928,21.958069,61
潮州,屏東縣,84,細懸浮微粒,普通,2.9,0.32,48,45,47,19,10,11.8,1.4,2.9,230,2025-04-21 15:00,,0.3,24.5,45,0,120.561175,22.523108,60
屏東,屏東縣,79,細懸浮微粒,普通,1.4,0.27,58,45,50,14,6,7.6,1,3.9,287,2025-04-21 15:00,,0.2,22.9,47,0,120.488033,22.673081,59
小港,高雄市,59,細懸浮微粒,普通,0.4,0.14,27,22,16,11,6,9,2.6,4.9,259,2025-04-21 15:00,,0.2,15.5,26,0,120.337736,22.565833,58
前鎮,高雄市,57,細懸浮微粒,普通,1.5,0.16,28,24,22,14,5,8.2,2.5,2,1,2025-04-21 15:00,,0.2,14.6,27,1,120.30833356,22.6044507,57
前金,高雄市,60,細懸浮微粒,普通,0.3,0.16,32,29,24,13,2,2.9,0.5,2.9,239,2025-04-21 15:00,,0.2,15.7,32,0,120.28676111,22.63390278,56
左營,高雄市,66,細懸浮微粒,普通,0.7,0.13,28,21,23,16,1,2.3,0.8,3.3,267,2025-04-21 15:00,,0.1,18.1,26,0,120.292917,22.674861,54
楠梓,高雄市,72,細懸浮微粒,普通,1.1,0.16,31,27,43,18,10,14.3,3.6,2.4,276,2025-04-21 15:00,,0.2,20.1,45,0,120.328289,22.733667,53
林園,高雄市,67,細懸浮微粒,普通,,,,21,,,2,3.1,1,3.7,285,2025-04-21 15:00,,0.1,18.3,32,1,120.41175,22.4795,52
大寮,高雄市,79,細懸浮微粒,普通,1.1,0.18,38,39,41,20,8,10.3,2.1,3.3,308,2025-04-21 15:00,,0.2,22.6,47,1,120.425311,22.56413611,51
鳳山,高雄市,80,細懸浮微粒,普通,1,0.31,38,33,30,16,8,10.1,1.9,1.4,305,2025-04-21 15:00,,0.4,23,38,1,120.357422,22.628126,50
仁武,高雄市,65,細懸浮微粒,普通,2.6,0.17,,,31,16,5,7,1.9,3.5,293,2025-04-21 15:00,,0.3,17.7,34,1,120.332631,22.689056,49
橋頭,高雄市,69,細懸浮微粒,普通,1.8,0.12,37,29,22,15,3,4,0.6,4,252,2025-04-21 15:00,,0.1,19.2,29,1,120.305689,22.757506,48
美濃,高雄市,67,細懸浮微粒,普通,1,0.23,68,40,36,19,3,3.8,0.5,1.8,287,2025-04-21 15:00,,0.2,18.5,28,0,120.530542,22.883583,47
臺南,臺南市,58,細懸浮微粒,普通,0.2,0.17,33,29,31,11,3,5.2,1.4,2.6,257,2025-04-21 15:00,,0.2,14.9,29,0,120.21947897,22.98928311,46
安南,臺南市,57,細懸浮微粒,普通,,,,26,,10,,,,3.2,281,2025-04-21 15:00,,0.2,14.8,29,0,120.2175,23.048197,45
善化,臺南市,77,細懸浮微粒,普通,0.2,0.15,33,27,44,19,5,8.8,3.1,4.2,287,2025-04-21 15:00,,0.1,22.1,37,0,120.29740529,23.11337642,44
新營,臺南市,66,細懸浮微粒,普通,0.3,0.18,35,29,25,14,4,5.4,0.8,2.3,304,2025-04-21 15:00,,0.2,17.8,29,0,120.31725,23.305633,43
嘉義,嘉義市,66,細懸浮微粒,普通,1.3,0.16,40,33,35,14,3,4.6,0.7,3.7,256,2025-04-21 15:00,,0.2,18,35,1,120.44125148,23.46477865,42
臺西,雲林縣,52,細懸浮微粒,普通,0.5,0.13,26,30,17,9,1,1.3,0.2,3.3,233,2025-04-21 15:00,,0.1,13,20,0,120.19933333,23.702175,41
朴子,嘉義縣,64,細懸浮微粒,普通,0.6,0.11,32,29,18,11,2,3,0.5,2.1,286,2025-04-21 15:00,,0.1,17.2,26,1,120.2478,23.46538,40
新港,嘉義縣,66,細懸浮微粒,普通,1.1,0.14,34,33,29,16,2,3.4,1.1,3.4,280,2025-04-21 15:00,,0.1,17.8,28,1,120.345531,23.554839,39
崙背,雲林縣,70,細懸浮微粒,普通,0.9,0.15,,28,23,,1,1.6,0.3,3,282,2025-04-21 15:00,,0.1,19.6,30,0,120.348742,23.757547,38
斗六,雲林縣,79,細懸浮微粒,普通,1.1,0.2,47,36,34,18,3,4.6,1.3,2.8,259,2025-04-21 15:00,,0.2,22.9,37,1,120.544994,23.711853,37
南投,南投縣,77,細懸浮微粒,普通,1,0.19,51,34,33,19,3,3.8,0.6,2.1,307,2025-04-21 15:00,,0.2,21.9,34,0,120.685306,23.913,36
二林,彰化縣,69,細懸浮微粒,普通,3.9,0.17,35,28,36,19,5,7.1,1.6,3.6,274,2025-04-21 15:00,,0.2,19.1,37,2,120.409653,23.925175,35
線西,彰化縣,74,細懸浮微粒,普通,1.2,0.13,38,32,24,11,3,5.6,1.7,4,267,2025-04-21 15:00,,0.2,20.9,33,1,120.469061,24.131672,34
彰化,彰化縣,79,細懸浮微粒,普通,1,0.14,40,30,22,20,4,5.5,1.1,2.1,315,2025-04-21 15:00,,0.2,22.7,29,1,120.541519,24.066,33
西屯,臺中市,84,細懸浮微粒,普通,1.8,0.18,49,32,45,23,5,5.8,0.7,3,261,2025-04-21 15:00,,0.2,24.5,44,1,120.616917,24.162197,32
忠明,臺中市,78,細懸浮微粒,普通,1.5,0.2,43,26,48,23,6,9.2,2.4,2.5,288,2025-04-21 15:00,,0.3,22.4,48,1,120.641092,24.151958,31
大里,臺中市,87,細懸浮微粒,普通,0.8,0.19,46,30,40,24,,,,4.5,275,2025-04-21 15:00,,0.2,25.7,37,0,120.67844444,24.09961111,30
沙鹿,臺中市,81,細懸浮微粒,普通,1.1,0.17,41,31,32,18,4,5.2,1.1,2.3,217,2025-04-21 15:00,,0.2,23.4,40,0,120.568794,24.225628,29
豐原,臺中市,87,細懸浮微粒,普通,1.1,0.25,59,39,43,28,5,7.1,1.6,3.3,272,2025-04-21 15:00,,0.2,25.7,37,0,120.74252414,24.25699731,28
三義,苗栗縣,85,細懸浮微粒,普通,1.8,0.23,49,36,45,28,4,7,2.1,2.5,225,2025-04-21 15:00,,0.2,24.9,38,1,120.75956754,24.38248443,27
苗栗,苗栗縣,80,細懸浮微粒,普通,1.9,0.17,,28,,,6,7.7,1.5,2.4,350,2025-04-21 15:00,,0.2,23.2,31,1,120.82011468,24.56499183,26
頭份,苗栗縣,73,細懸浮微粒,普通,1.6,0.2,51,31,37,24,3,5.1,2,3.4,286,2025-04-21 15:00,,0.2,20.6,34,1,120.89869286,24.69690679,25
新竹,新竹市,66,細懸浮微粒,普通,1.2,0.25,48,26,23,18,5,6.1,0.9,1.9,261,2025-04-21 15:00,,0.3,17.8,25,1,120.97236752,24.8056356,24
竹東,新竹縣,69,細懸浮微粒,普通,0.8,0.26,52,28,42,30,7,8,0.4,1.5,254,2025-04-21 15:00,,0.2,19,32,0,121.08895493,24.74091408,23
湖口,新竹縣,67,細懸浮微粒,普通,1,0.22,50,27,21,18,3,3.9,0.7,2.4,277,2025-04-21 15:00,,0.2,18.2,27,0,121.03886894,24.90009696,22
龍潭,桃園市,69,細懸浮微粒,普通,1.6,0.28,46,27,41,29,8,9.6,0.7,2.3,295,2025-04-21 15:00,,0.2,19.2,30,0,121.21645772,24.86400048,21
平鎮,桃園市,71,細懸浮微粒,普通,0.6,0.32,47,27,42,29,9,10.8,1.6,1.8,283,2025-04-21 15:00,,0.3,19.8,32,0,121.203986,24.952786,20
觀音,桃園市,65,細懸浮微粒,普通,0.4,0.2,54,30,21,16,4,5.3,0.8,1.5,284,2025-04-21 15:00,,0.2,17.6,22,0,121.08283092,25.03556747,19
大園,桃園市,65,細懸浮微粒,普通,0.8,0.25,,26,,17,8,8.3,0,1.9,296,2025-04-21 15:00,,0.2,17.7,30,0,121.20251473,25.06100357,18
桃園,桃園市,71,細懸浮微粒,普通,0.8,0.29,51,30,39,23,10,10.9,0.8,1.9,297,2025-04-21 15:00,,0.3,19.8,29,1,121.30500531,24.9947107,17
大同,臺北市,101,細懸浮微粒,對敏感族群不健康,,,54,27,,37,,,,-,-,2025-04-21 15:00,,1.4,30.7,41,1,121.51342074,25.06331455,16
松山,臺北市,82,細懸浮微粒,普通,1.1,0.33,67,45,42,31,12,14.8,2,2.5,295,2025-04-21 15:00,,0.4,23.7,32,0,121.578611,25.05,15
古亭,臺北市,72,細懸浮微粒,普通,1.4,0.33,68,42,44,,12,12.9,0.6,2,305,2025-04-21 15:00,,0.3,20.2,30,0,121.529556,25.020608,14
萬華,臺北市,81,細懸浮微粒,普通,1.4,0.41,60,39,43,31,,,,,,2025-04-21 15:00,,0.5,23.5,35,0,121.507972,25.046503,13
中山,臺北市,85,細懸浮微粒,普通,1.9,0.43,59,41,44,32,16,19.5,2.8,2.3,307,2025-04-21 15:00,,0.5,25.1,37,0,121.526528,25.062361,12
士林,臺北市,73,細懸浮微粒,普通,1.9,0.24,58,44,40,22,7,8.6,1.1,3.3,343,2025-04-21 15:00,,0.3,20.6,33,0,121.51666356,25.10334003,11
淡水,新北市,73,細懸浮微粒,普通,1.3,0.16,56,41,31,18,4,5.4,0.8,2,310,2025-04-21 15:00,,0.3,20.6,34,0,121.449239,25.1645,10
林口,新北市,74,細懸浮微粒,普通,1.7,0.22,61,34,32,19,5,6.4,1.1,2.4,311,2025-04-21 15:00,,0.3,20.9,29,0,121.36548982,25.07798949,9
菜寮,新北市,85,細懸浮微粒,普通,2.1,0.34,64,42,45,27,12,14.7,2,3.1,301,2025-04-21 15:00,,0.5,25,35,0,121.481028,25.06895,8
新莊,新北市,69,細懸浮微粒,普通,1.5,0.28,58,36,35,25,10,11.9,1.3,1.5,35,2025-04-21 15:00,,0.3,19.2,27,0,121.4325,25.037972,7
板橋,新北市,64,細懸浮微粒,普通,1.7,0.34,65,35,41,29,13,14.6,1.5,2.3,318,2025-04-21 15:00,,0.4,17.1,27,0,121.458667,25.012972,6
土城,新北市,72,細懸浮微粒,普通,1.9,0.34,58,32,44,29,12,13.3,1.2,2.4,326,2025-04-21 15:00,,0.3,20.1,32,0,121.451861,24.982528,5
新店,新北市,66,細懸浮微粒,普通,1.4,0.35,72,42,43,25,13,14.3,0.7,2,344,2025-04-21 15:00,,0.3,18,28,0,121.537778,24.977222,4
